uid,comp_key,fom_ref,rank_mean,rank_entropy
2ClGaS-1,Cl1-Ga1-S1,1945.1640194208683,249.6335,0.826650542744421
1Br2Se2Pb3-1,Br2-Pb3-Se2,1955.588919209041,250.0875,0.8283188676811842
2FNTi-1,F1-N1-Ti1,1946.3195643157273,250.4775,0.8263308440564954
2HNaTe-1,H1-Na1-Te1,1944.9665884437836,251.465,0.8349759343321311
1MgCl2-1,Cl2-Mg1,1937.2436669111169,252.269,0.8300401453520014
4As-1,As1,1945.9976951545539,252.72,0.8290327853907309
2AlTe-1,Al1-Te1,1940.0177592024354,254.788,0.8266536090970605
2AsMgSe3-1,As1-Mg1-Se3,1929.7386801185226,256.0085,0.8312978227805486
2BrCu-1,Br1-Cu1,1924.002765996672,256.7745,0.8317851781804412
1ClISSeGa2-1,Cl1-Ga2-I1-S1-Se1,1915.2504332912245,257.548,0.8267611317391479
2BiPS3-1,Bi1-P1-S3,1915.3998661522144,257.854,0.8310729430113564
1CuInP2S6-1,Cu1-In1-P2-S6,1916.318690070982,258.6465,0.8287275573411528
1BiFSe-1,Bi1-F1-Se1,1911.791781918342,259.206,0.8109165933436069
2PtTe2-1,Pt1-Te2,1913.9341479451193,261.8955,0.8323388381415177
1MgI2-1,I2-Mg1,1907.8253164561625,263.6,0.8315102832936077
1MoO2-1,Mo1-O2,1902.8190401509635,264.062,0.8334039445592714
2MgPS3-1,Mg1-P1-S3,1891.8092634292407,266.163,0.8335905905668388
1WMo3S8-1,Mo3-S8-W1,1904.5556239543357,266.877,0.8357985149932836
1WMo3O8-1,Mo3-O8-W1,1880.3121928387993,267.0805,0.8316275170993783
1GaInBr2S2-1,Br2-Ga1-In1-S2,1892.7726547745226,267.854,0.8283822430905444
4PSiTe-1,P1-Si1-Te1,1889.9457716482038,267.974,0.8324262781099377
1CF2Y2-1,C1-F2-Y2,1881.6423083041661,269.48,0.831662116242501
1MoW3S8-1,Mo1-S8-W3,1886.4440385057892,270.3555,0.8321081371442024
2BaFI-1,Ba1-F1-I1,1874.1968158382656,273.58,0.8280500044601302
1N2O2Zr3-1,N2-O2-Zr3,1912.5902977817675,274.1545,0.8965360941685963
1CCl2Sc2-1,C1-Cl2-Sc2,1861.9458500393607,275.729,0.8323774275337513
2ClIrTe-2,Cl1-Ir1-Te1,1859.9949196703055,276.07,0.8343474481584412
1MgB2H8-1,B2-H8-Mg1,1863.1600872455415,276.4665,0.8331068768185924
